primary_key,id_estacao,data_medicao,altura_agua,data_particao
5_2024-03-21 23:45:00,5,2024-03-21T23:45:00,0.15,2024-03-21
5_2024-03-21 23:15:00,5,2024-03-21T23:15:00,,2024-03-21
5_2024-03-21 23:30:00,5,2024-03-21T23:30:00,0.16,2024-03-21
2_2024-03-21 21:45:00,2,2024-03-21T21:45:00,0.33,2024-03-21
2_2024-03-21 22:00:00,2,2024-03-21T22:00:00,0.33,2024-03-21
2_2024-03-21 21:30:00,2,2024-03-21T21:30:00,0.33,2024-03-21
2_2024-03-21 21:15:00,2,2024-03-21T21:15:00,0.33,2024-03-21
2_2024-03-21 20:15:00,2,2024-03-21T20:15:00,0.33,2024-03-21
2_2024-03-21 20:45:00,2,2024-03-21T20:45:00,0.33,2024-03-21
2_2024-03-21 21:00:00,2,2024-03-21T21:00:00,0.33,2024-03-21
2_2024-03-21 20:00:00,2,2024-03-21T20:00:00,0.33,2024-03-21
2_2024-03-21 19:15:00,2,2024-03-21T19:15:00,0.33,2024-03-21
2_2024-03-21 19:45:00,2,2024-03-21T19:45:00,0.33,2024-03-21
2_2024-03-21 19:30:00,2,2024-03-21T19:30:00,0.33,2024-03-21
2_2024-03-21 18:30:00,2,2024-03-21T18:30:00,0.33,2024-03-21
2_2024-03-21 18:15:00,2,2024-03-21T18:15:00,0.33,2024-03-21
2_2024-03-21 19:00:00,2,2024-03-21T19:00:00,0.33,2024-03-21
2_2024-03-21 18:45:00,2,2024-03-21T18:45:00,0.33,2024-03-21
2_2024-03-21 17:45:00,2,2024-03-21T17:45:00,0.33,2024-03-21
2_2024-03-21 17:30:00,2,2024-03-21T17:30:00,0.33,2024-03-21
2_2024-03-21 17:15:00,2,2024-03-21T17:15:00,0.33,2024-03-21
2_2024-03-21 18:00:00,2,2024-03-21T18:00:00,0.33,2024-03-21
2_2024-03-21 16:45:00,2,2024-03-21T16:45:00,0.33,2024-03-21
2_2024-03-21 16:15:00,2,2024-03-21T16:15:00,0.33,2024-03-21
2_2024-03-21 16:30:00,2,2024-03-21T16:30:00,0.33,2024-03-21
2_2024-03-21 17:00:00,2,2024-03-21T17:00:00,0.33,2024-03-21
2_2024-03-21 15:30:00,2,2024-03-21T15:30:00,0.33,2024-03-21
2_2024-03-21 14:15:00,2,2024-03-21T14:15:00,0.33,2024-03-21
2_2024-03-21 14:45:00,2,2024-03-21T14:45:00,0.33,2024-03-21
2_2024-03-21 15:00:00,2,2024-03-21T15:00:00,0.33,2024-03-21
2_2024-03-21 14:30:00,2,2024-03-21T14:30:00,0.33,2024-03-21
2_2024-03-21 13:30:00,2,2024-03-21T13:30:00,0.33,2024-03-21
2_2024-03-21 13:15:00,2,2024-03-21T13:15:00,0.33,2024-03-21
2_2024-03-21 13:45:00,2,2024-03-21T13:45:00,0.33,2024-03-21
2_2024-03-21 14:00:00,2,2024-03-21T14:00:00,0.33,2024-03-21
2_2024-03-21 12:30:00,2,2024-03-21T12:30:00,0.33,2024-03-21
2_2024-03-21 12:15:00,2,2024-03-21T12:15:00,0.33,2024-03-21
2_2024-03-21 12:45:00,2,2024-03-21T12:45:00,0.33,2024-03-21
2_2024-03-21 13:00:00,2,2024-03-21T13:00:00,0.33,2024-03-21
2_2024-03-21 11:15:00,2,2024-03-21T11:15:00,0.33,2024-03-21
2_2024-03-21 12:00:00,2,2024-03-21T12:00:00,0.33,2024-03-21
2_2024-03-21 11:45:00,2,2024-03-21T11:45:00,0.33,2024-03-21
2_2024-03-21 11:30:00,2,2024-03-21T11:30:00,0.33,2024-03-21
2_2024-03-21 10:45:00,2,2024-03-21T10:45:00,0.33,2024-03-21
2_2024-03-21 11:00:00,2,2024-03-21T11:00:00,0.33,2024-03-21
2_2024-03-21 10:30:00,2,2024-03-21T10:30:00,0.33,2024-03-21
2_2024-03-21 10:15:00,2,2024-03-21T10:15:00,0.33,2024-03-21
